10121	14		10	2
10191	10		13	3
10485	12		11	2
10139	11		11	4
10299	14		15	2
10291	10		12	2
10209	12		12	3
10279	11		13	3
10216	15		10	4
10390	12		15	2
10330	15		11	2
10264	14		15	4
10237	15		11	2
10303	11		12	3
10213	15		11	3
10407	15		12	3
10398	11		12	2
10351	10		10	4
10441	12		10	3
10502	15		10	4
10261	14		10	2
10255	10		11	3
10281	12		14	4
10211	15		10	3
10192	15		14	4
10265	15		13	2
10392	14		11	4
10379	10		13	2
10308	14		14	2
10231	10		12	3
10158	14		13	3
10263	12		13	2
10234	11		13	4
10228	10		12	3
10236	12		10	2
10381	12		10	2
10236	15		10	4
10407	14		12	2
10394	10		10	3
10092	10		11	4
10237	13		14	3
10418	14		14	4
10328	10		14	2
